datetime,Distance_82,Distance_83
2024-07-05 04:06:17.829921,0.75,0.61
2024-07-05 04:06:17.938955,0.68,0.61
2024-07-05 04:06:17.952766,0.68,0.57
2024-07-05 04:06:18.062325,0.71,0.57
2024-07-05 04:06:18.075257,0.71,0.57
2024-07-05 04:06:18.184588,0.69,0.57
2024-07-05 04:06:18.198951,0.69,0.57
2024-07-05 04:06:18.308088,0.68,0.57
2024-07-05 04:06:18.321246,0.68,0.57
2024-07-05 04:06:18.431112,0.68,0.57
2024-07-05 04:06:18.445117,0.68,0.58
2024-07-05 04:06:18.553634,0.68,0.58
2024-07-05 04:06:18.567627,0.68,0.63
2024-07-05 04:06:18.676800,0.69,0.63
2024-07-05 04:06:18.690981,0.69,0.58
2024-07-05 04:06:18.799354,0.68,0.58
2024-07-05 04:06:18.813372,0.68,0.48
2024-07-05 04:06:18.922469,0.64,0.48
2024-07-05 04:06:18.936485,0.64,0.53
2024-07-05 04:06:19.045962,0.68,0.53
2024-07-05 04:06:19.059479,0.68,0.51
2024-07-05 04:06:19.168236,0.73,0.51
2024-07-05 04:06:19.182568,0.73,0.54
2024-07-05 04:06:19.291488,0.69,0.54
2024-07-05 04:06:19.305486,0.69,0.58
2024-07-05 04:06:19.415185,0.67,0.58
2024-07-05 04:06:19.429138,0.67,0.59
2024-07-05 04:06:19.537161,0.65,0.59
2024-07-05 04:06:19.551303,0.65,0.5
2024-07-05 04:06:19.660853,0.69,0.5
2024-07-05 04:06:19.674367,0.69,0.47
2024-07-05 04:06:19.783612,0.66,0.47
2024-07-05 04:06:19.797634,0.66,0.53
2024-07-05 04:06:19.906435,0.69,0.53
2024-07-05 04:06:19.920814,0.69,0.54
2024-07-05 04:06:20.029929,0.71,0.54
2024-07-05 04:06:20.043900,0.71,0.53
2024-07-05 04:06:20.399030,0.66,0.53
2024-07-05 04:06:20.412014,0.66,0.54
2024-07-05 04:06:20.521719,0.69,0.54
2024-07-05 04:06:20.535750,0.69,0.59
2024-07-05 04:06:20.644814,0.49,0.59
2024-07-05 04:06:20.658505,0.49,0.77
2024-07-05 04:06:20.767239,0.56,0.77
2024-07-05 04:06:20.781398,0.56,0.54
2024-07-05 04:06:20.890855,0.74,0.54
2024-07-05 04:06:20.904517,0.74,0.53
2024-07-05 04:06:21.013227,0.81,0.53
2024-07-05 04:06:21.029463,0.81,0.46
