Timestamp,Device,Distance_82,Distance_83,X,Y
1720123576.8318741,Distance,0.69,0.56,0.5812499999999999,0.37181774769367854
1720123576.8450336,Distance,0.69,0.55,0.5868,0.3629955371626489
1720123576.9541054,Distance,0.66,0.55,0.56655,0.3385573769688086
1720123576.9681125,Distance,0.66,0.54,0.572,0.329265850036107
1720123577.0778654,Distance,0.76,0.54,0.6429999999999999,0.4051555256935293
1720123577.0918653,Distance,0.76,0.56,0.6319999999999999,0.4221089906647337
1720123577.2003818,Distance,0.7,0.56,0.5882,0.37950067193616394
1720123577.214395,Distance,0.7,0.61,0.5589500000000001,0.42139636626340277
1720123577.3242452,Distance,0.64,0.61,0.51875,0.3748312120141544
1720123577.337504,Distance,0.64,0.56,0.5479999999999999,0.330599455534942
1720123577.4468718,Distance,0.69,0.56,0.5812499999999999,0.37181774769367854
1720123577.4602025,Distance,0.69,0.6,0.5580499999999999,0.405808079638639
1720123577.8156323,Distance,0.75,0.6,0.6012500000000001,0.44832849284871457
1720123577.829921,Distance,0.75,0.61,0.5952,0.45632988067844077
1720123577.9389546,Distance,0.68,0.61,0.54515,0.4064621476841356
1720123577.9527664,Distance,0.68,0.57,0.5687500000000001,0.37272434519360287
1720123578.062325,Distance,0.71,0.57,0.5896,0.39556521586206234
1720123578.075257,Distance,0.71,0.57,0.5896,0.39556521586206234
1720123578.1845882,Distance,0.69,0.57,0.5756,0.38050576868163233
1720123578.1989512,Distance,0.69,0.57,0.5756,0.38050576868163233
1720123578.308088,Distance,0.68,0.57,0.5687500000000001,0.37272434519360287
1720123578.3212464,Distance,0.68,0.57,0.5687500000000001,0.37272434519360287
1720123578.4311123,Distance,0.68,0.57,0.5687500000000001,0.37272434519360287
1720123578.445117,Distance,0.68,0.58,0.5630000000000001,0.3813541660976053
1720123578.5536342,Distance,0.68,0.58,0.5630000000000001,0.3813541660976053
1720123578.5676272,Distance,0.68,0.63,0.5327500000000001,0.4225842371646156
1720123578.6767995,Distance,0.69,0.63,0.5396,0.43003702166208896
1720123578.6909807,Distance,0.69,0.58,0.56985,0.3890642331286699
1720123578.799354,Distance,0.68,0.58,0.5630000000000001,0.3813541660976053
1720123578.813372,Distance,0.68,0.48,0.6160000000000001,0.2879999999999998
1720123578.922469,Distance,0.64,0.48,0.5896,0.24894143889678144
1720123578.9364853,Distance,0.64,0.53,0.5643499999999999,0.3018428026307736
1720123579.045962,Distance,0.68,0.53,0.5907500000000001,0.33677060070617787
1720123579.0594788,Distance,0.68,0.51,0.6011500000000001,0.3178343554432088
1720123579.1682365,Distance,0.73,0.51,0.6364,0.357624160257665
